Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,temperature,humidity,precipitation,weather_description,Traffic_Level,Distance_km,TARGET
30.0,4.2,11.025083,77.015393,11.105083,77.095393,Meal ,scooter ,25.02,73.0,0.0,mist,High,15.95,36.31666667
30.0,4.8,21.160437,72.774209,21.200437,72.814209,Buffet ,scooter ,24.99,73.0,0.0,mist,Moderate,8.82,26.3
36.0,4.7,10.96185,76.971082,11.02185,77.031082,Meal ,motorcycle ,25.99,65.0,0.0,haze,High,14.95,38.53333333
29.0,4.6,18.520016,73.830547,18.600016,73.910547,Buffet ,scooter ,22.96,48.0,0.0,clear sky,High,15.99,40.78333333
29.0,4.6,0.0,0.0,0.03,0.03,Meal ,motorcycle ,26.27,82.0,0.43,light rain,High,13.4,35.98333333
30.0,4.7,10.000706,76.349516,10.010706,76.359516,Meal ,motorcycle ,24.91,86.0,0.0,clear sky,Low,2.97,15.2
36.0,4.6,0.0,0.0,0.03,0.03,Meal ,motorcycle ,26.27,82.0,0.43,light rain,High,13.4,35.98333333
35.0,4.9,22.75004,75.902847,22.86004,76.012847,Meal ,scooter ,17.31,53.0,0.0,clear sky,High,24.02,39.75
26.0,4.8,0.0,0.0,0.13,0.13,Meal ,scooter ,26.27,84.0,0.0,overcast clouds,High,13.4,35.98333333
34.0,4.9,26.910262,75.783013,26.940262,75.813013,Meal ,motorcycle ,19.37,68.0,0.0,haze,Moderate,6.02,27.35
32.0,4.6,23.39925,85.390464,23.48925,85.480464,Buffet ,motorcycle ,20.22,63.0,0.0,scattered clouds,Moderate,14.22,25.83333333
31.0,4.9,18.530963,73.828972,18.560963,73.858972,Snack ,scooter ,19.27,65.0,0.0,clear sky,Moderate,6.57,25.25
37.0,4.7,0.0,0.0,0.04,0.04,Meal ,motorcycle ,26.28,85.0,0.0,broken clouds,High,13.4,35.98333333
34.0,4.7,19.207222,72.972281,19.267222,73.032281,Snack ,motorcycle ,28.95,50.0,0.0,clear sky,Moderate,10.26,29.71666667
31.0,4.9,12.970221,77.645396,13.060221,77.735396,Meal ,scooter ,19.18,93.0,0.0,mist,High,16.49,43.61666667
38.0,4.5,0.0,0.0,0.05,0.05,Snack ,motorcycle ,26.35,82.0,0.29,light rain,High,13.4,35.98333333
38.0,4.9,12.310972,76.659264,12.390972,76.739264,Meal ,motorcycle ,20.7,67.0,0.0,clear sky,Very High,18.38,46.51666667
22.0,4.8,12.337978,76.616792,12.367978,76.646792,Snack ,motorcycle ,20.61,67.0,0.0,clear sky,Moderate,7.25,29.88333333
35.0,4.7,0.0,0.0,0.05,0.05,Buffet ,electric_scooter ,26.26,85.0,0.0,overcast clouds,High,13.4,35.98333333
22.0,4.6,13.044694,80.26147,13.064694,80.28147,Meal ,motorcycle ,26.5,87.0,0.0,mist,Low,5.02,15.7
35.0,4.1,17.45971,78.368855,17.51971,78.428855,Buffet ,motorcycle ,21.18,65.0,0.0,broken clouds,High,13.79,36.76666667
27.0,4.8,25.450329,81.834279,25.580329,81.964279,Snack ,scooter ,21.79,56.0,0.0,clear sky,Very High,26.79,58.46666667
34.0,4.7,-30.319528,78.040267,30.429528,78.150267,Meal ,electric_scooter ,11.97,84.0,0.0,clear sky,High,13.4,35.98333333
31.0,4.8,0.0,0.0,0.05,0.05,Drinks ,motorcycle ,26.26,85.0,0.0,overcast clouds,High,13.4,35.98333333
21.0,4.7,26.492106,80.327797,26.572106,80.407797,Drinks ,motorcycle ,21.74,56.0,0.0,clear sky,High,16.35,49.5
23.0,5.0,21.183434,72.814492,21.193434,72.824492,Drinks ,scooter ,24.91,73.0,0.0,mist,Very Low,2.2,20.58333333
34.0,4.5,0.0,0.0,0.07,0.07,Buffet ,motorcycle ,26.28,84.0,0.0,broken clouds,High,13.4,35.98333333
33.0,4.8,13.044694,80.26147,13.074694,80.29147,Meal ,motorcycle ,26.45,87.0,0.0,mist,Low,8.31,22.95
33.0,4.6,0.0,0.0,0.09,0.09,Snack ,scooter ,26.4,81.0,0.29,light rain,High,13.4,35.98333333
23.0,4.8,0.0,0.0,0.02,0.02,Buffet ,motorcycle ,26.29,85.0,0.11,light rain,High,13.4,35.98333333
28.0,4.8,9.988483,76.295211,10.118483,76.425211,Buffet ,motorcycle ,24.14,92.0,0.0,scattered clouds,Very High,26.93,56.76666667
36.0,4.7,23.359033,85.325347,23.409033,85.375347,Snack ,motorcycle ,20.09,83.0,0.0,mist,High,9.71,38.9
32.0,4.8,21.17106,72.789292,21.18106,72.799292,Snack ,electric_scooter ,24.94,73.0,0.0,mist,Very Low,1.68,13.11666667
22.0,4.7,19.178321,72.834715,19.208321,72.864715,Meal ,scooter ,26.92,44.0,0.0,smoke,Moderate,7.42,29.58333333
34.0,4.7,18.994049,72.825203,19.084049,72.915203,Snack ,scooter ,28.01,57.0,0.0,smoke,High,18.06,46.6
35.0,4.9,0.0,0.0,0.08,0.08,Snack ,motorcycle ,26.27,84.0,0.0,broken clouds,High,13.4,35.98333333
22.0,4.6,18.563934,73.915367,18.643935,73.995367,Meal ,electric_scooter ,23.46,47.0,0.0,clear sky,Very High,23.05,53.01666667
38.0,4.8,26.766536,75.837333,26.806536,75.877333,Meal ,motorcycle ,20.14,68.0,0.0,haze,Low,7.08,16.73333333
22.0,4.6,12.972532,77.608179,13.052532,77.688179,Buffet ,scooter ,19.42,93.0,0.0,mist,High,14.13,45.01666667
31.0,4.3,22.308096,73.167753,22.388096,73.247753,Drinks ,motorcycle ,22.63,43.0,0.0,clear sky,High,16.42,40.93333333
25.0,4.8,15.516833,73.768172,15.626833,73.878172,Meal ,scooter ,24.9,60.0,0.0,scattered clouds,High,20.92,39.06666667
29.0,4.6,21.160437,72.774209,21.170437,72.784209,Drinks ,electric_scooter ,23.84,44.0,0.0,clear sky,Low,4.05,20.3
32.0,4.4,18.536562,73.896485,18.646562,74.006485,Buffet ,motorcycle ,19.23,65.0,0.0,clear sky,Very High,27.49,50.55
27.0,5.0,12.3085,76.665808,12.4185,76.775808,Meal ,scooter ,18.28,82.0,0.0,broken clouds,High,26.27,40.56666667
28.0,4.3,12.323194,76.630583,12.433194,76.740583,Snack ,electric_scooter ,20.62,67.0,0.0,clear sky,High,22.23,37.53333333
37.0,5.0,27.160832,78.011608,27.230832,78.081608,Buffet ,scooter ,21.71,51.0,0.0,clear sky,High,15.65,34.61666667
37.0,4.9,10.96185,76.971082,11.02185,77.031082,Drinks ,scooter ,24.99,73.0,0.0,mist,High,14.95,53.93333333
26.0,4.8,26.90519,75.810753,27.03519,75.940753,Buffet ,scooter ,19.93,47.0,0.0,clear sky,Very High,25.39,49.76666667
28.0,4.3,21.149834,72.778666,21.229834,72.858666,Drinks ,motorcycle ,23.0,43.0,0.0,clear sky,High,16.11,43.0
29.0,4.6,22.32,73.17,22.45,73.3,Snack ,motorcycle ,22.43,44.0,0.0,clear sky,High,23.95,42.71666667
36.0,4.7,17.483216,78.552111,17.493216,78.562111,Meal ,motorcycle ,22.94,60.0,0.0,haze,Low,2.64,12.01666667
39.0,4.3,22.527893,88.368628,22.617893,88.458628,Drinks ,scooter ,28.03,65.0,0.0,haze,High,19.52,49.41666667
21.0,4.9,12.284747,76.625861,12.364747,76.705861,Snack ,scooter ,20.81,67.0,0.0,clear sky,Very High,18.25,50.15
24.0,4.6,27.160934,78.044095,27.220934,78.104095,Meal ,motorcycle ,25.84,37.0,0.0,clear sky,Moderate,20.32,29.76666667
35.0,4.6,26.473698,80.352677,26.553698,80.432677,Buffet ,motorcycle ,25.47,42.0,0.0,clear sky,High,19.51,40.93333333
25.0,4.8,21.160437,72.774209,21.270437,72.884209,Drinks ,scooter ,24.92,43.0,0.0,clear sky,Very High,24.59,57.06666667
38.0,4.8,23.234249,77.434007,23.294249,77.494007,Meal ,scooter ,18.24,57.0,0.0,clear sky,High,13.62,32.7
38.0,4.9,22.310526,73.170937,22.400526,73.260937,Snack ,scooter ,22.57,44.0,0.0,clear sky,Moderate,18.18,33.5
23.0,4.8,13.049645,80.242268,13.059645,80.252268,Snack ,electric_scooter ,26.43,88.0,0.0,mist,Very Low,2.19,14.71666667
22.0,4.2,12.933284,77.615428,12.963284,77.645428,Drinks ,motorcycle ,19.77,91.0,0.0,mist,Moderate,8.99,39.93333333
25.0,4.1,18.563934,73.915367,18.643935,73.995367,Snack ,motorcycle ,19.17,65.0,0.0,clear sky,Very High,23.53,50.45
28.0,4.7,18.636215,73.751081,18.696215,73.811081,Meal ,motorcycle ,22.57,49.0,0.0,clear sky,High,15.12,42.2
31.0,4.6,22.753839,75.897429,22.863838,76.007429,Meal ,motorcycle ,22.32,43.0,0.0,clear sky,High,25.66,41.85
39.0,4.2,11.000762,76.981876,11.090762,77.071876,Meal ,scooter ,25.0,73.0,0.0,mist,High,18.48,38.86666667
22.0,4.6,0.0,0.0,0.07,0.07,Buffet ,motorcycle ,26.28,84.0,0.0,broken clouds,High,13.4,35.98333333
38.0,4.6,0.0,0.0,0.01,0.01,Snack ,scooter ,26.29,85.0,0.12,light rain,High,13.4,35.98333333
33.0,4.1,19.120083,72.907385,19.250083,73.037385,Snack ,scooter ,28.01,49.0,0.0,clear sky,Very High,25.98,53.1
36.0,4.6,23.374878,85.335739,23.444878,85.405739,Snack ,motorcycle ,17.75,68.0,0.0,clear sky,Moderate,17.1,29.21666667
32.0,4.4,0.0,0.0,0.03,0.03,Buffet ,motorcycle ,26.28,85.0,0.1,light rain,High,13.4,35.98333333
21.0,5.0,0.0,0.0,0.09,0.09,Meal ,motorcycle ,26.27,84.0,0.0,broken clouds,High,13.4,35.98333333
33.0,4.4,0.0,0.0,0.08,0.08,Meal ,motorcycle ,26.37,82.0,0.31,light rain,High,13.4,35.98333333
32.0,4.6,23.371292,85.327872,23.441292,85.397872,Snack ,motorcycle ,17.77,68.0,0.0,clear sky,High,18.75,40.36666667
20.0,4.1,21.149834,72.778666,21.279834,72.908666,Buffet ,scooter ,22.83,43.0,0.0,clear sky,High,24.11,46.23333333
38.0,4.7,21.149834,72.778666,21.259834,72.888666,Meal ,motorcycle ,24.93,43.0,0.0,clear sky,High,21.96,43.91666667
50.0,6.0,12.914264,77.6784,13.024264,77.7884,Meal ,electric_scooter ,22.86,74.0,0.0,haze,Very High,27.03,55.8
24.0,4.9,11.000762,76.981876,11.020762,77.001876,Buffet ,motorcycle ,24.95,73.0,0.0,mist,Low,4.82,18.46666667
28.0,5.0,13.026279,80.174568,13.116279,80.264568,Snack ,motorcycle ,28.28,82.0,0.0,mist,High,26.98,50.95
27.0,4.6,21.149834,72.778666,21.179834,72.808666,Snack ,scooter ,23.57,44.0,0.0,clear sky,Low,5.83,18.63333333
23.0,4.8,21.157729,72.768726,21.237729,72.848726,Buffet ,motorcycle ,24.93,73.0,0.0,mist,Moderate,14.17,35.38333333
22.0,5.0,26.88842,75.800689,26.89842,75.810689,Buffet ,motorcycle ,23.64,46.0,0.0,haze,Very Low,1.78,8.566666667
39.0,4.8,22.307898,73.167788,22.337898,73.197788,Snack ,motorcycle ,22.86,42.0,0.0,clear sky,Low,7.41,18.08333333
32.0,4.8,12.981615,80.231598,13.051615,80.301598,Drinks ,motorcycle ,28.47,81.0,0.0,mist,High,14.76,46.58333333
29.0,4.6,0.0,0.0,0.02,0.02,Meal ,motorcycle ,26.29,85.0,0.11,light rain,High,13.4,35.98333333
28.0,4.2,18.994049,72.825203,19.014049,72.845203,Snack ,motorcycle ,26.99,44.0,0.0,smoke,Low,5.08,23.98333333
28.0,4.8,12.311072,76.654878,12.371072,76.714878,Drinks ,motorcycle ,20.53,68.0,0.0,clear sky,High,15.76,50.21666667
29.0,4.6,26.88842,75.800689,26.91842,75.830689,Snack ,motorcycle ,19.56,68.0,0.0,haze,Low,6.17,20.58333333
21.0,4.6,17.430448,78.418213,17.500448,78.488213,Meal ,scooter ,22.77,60.0,0.0,haze,High,18.75,43.88333333
35.0,4.1,18.55144,73.804855,18.59144,73.844855,Drinks ,motorcycle ,22.86,49.0,0.0,clear sky,Moderate,8.69,35.78333333
39.0,4.9,21.149569,72.772697,21.239569,72.862697,Drinks ,scooter ,22.97,43.0,0.0,clear sky,Very High,20.14,56.8
21.0,4.4,12.352058,76.60665,12.422058,76.67665,Snack ,motorcycle ,20.64,67.0,0.0,clear sky,Moderate,15.36,33.73333333
23.0,4.9,21.175104,72.804342,21.195104,72.824342,Snack ,motorcycle ,23.39,43.0,0.0,clear sky,Low,4.21,19.83333333
30.0,4.9,22.74806,75.8934,22.75806,75.9034,Drinks ,electric_scooter ,22.08,60.0,0.0,haze,Very Low,1.97,19.61666667
32.0,5.0,0.0,0.0,0.11,0.11,Meal ,motorcycle ,26.44,81.0,0.25,light rain,High,13.4,35.98333333
31.0,4.7,26.471617,80.313564,26.491617,80.333564,Buffet ,scooter ,21.81,55.0,0.0,clear sky,Low,4.24,17.46666667
25.0,4.8,11.025083,77.015393,11.045083,77.035393,Meal ,scooter ,24.94,73.0,0.0,mist,Low,5.1,14.73333333
34.0,4.8,21.160437,72.774209,21.250437,72.864209,Drinks ,scooter ,22.92,43.0,0.0,clear sky,High,17.94,46.75
36.0,4.8,26.913483,75.803139,26.943483,75.833139,Snack ,motorcycle ,23.63,46.0,0.0,haze,Moderate,5.63,26.45
31.0,4.3,22.32,73.17,22.38,73.23,Meal ,motorcycle ,23.99,64.0,0.0,haze,Moderate,11.19,22.05
33.0,4.7,18.516216,73.842527,18.596216,73.922527,Snack ,motorcycle ,22.49,50.0,0.0,clear sky,High,15.09,39.8
35.0,4.5,23.218998,77.373573,23.248998,77.403573,Buffet ,scooter ,22.27,42.0,0.0,clear sky,Low,6.41,19.65
35.0,4.5,12.323978,76.627961,12.333978,76.637961,Meal ,motorcycle ,18.02,81.0,0.0,broken clouds,Very Low,2.11,9.5
39.0,4.8,26.911927,75.797282,27.051927,75.937282,Meal ,scooter ,23.92,29.0,0.0,clear sky,Very High,28.52,51.66666667
34.0,4.5,18.520016,73.830547,18.580016,73.890547,Drinks ,motorcycle ,22.91,49.0,0.0,clear sky,High,13.0,46.21666667
28.0,4.5,12.972532,77.608179,13.052532,77.688179,Drinks ,motorcycle ,19.42,93.0,0.0,mist,High,16.02,49.88333333
21.0,4.9,0.0,0.0,0.09,0.09,Buffet ,motorcycle ,26.27,84.0,0.0,broken clouds,High,13.4,35.98333333
33.0,4.6,0.0,0.0,0.09,0.09,Meal ,motorcycle ,26.27,84.0,0.0,broken clouds,High,13.4,35.98333333
35.0,4.8,23.351058,85.325731,23.441058,85.415731,Meal ,motorcycle ,20.21,83.0,0.0,mist,High,15.92,36.36666667
31.0,4.9,17.410371,78.437225,17.500371,78.527225,Meal ,motorcycle ,21.18,64.0,0.0,broken clouds,High,18.49,41.03333333
25.0,4.9,19.120083,72.907385,19.230083,73.017385,Meal ,motorcycle ,27.05,48.0,0.0,clear sky,High,23.45,45.0
32.0,4.9,11.024839,77.007003,11.084839,77.067003,Meal ,scooter ,25.0,73.0,0.0,mist,Moderate,11.45,28.25
25.0,4.8,23.351489,85.324253,23.461489,85.434253,Drinks ,motorcycle ,21.21,78.0,0.0,mist,High,18.52,44.9
21.0,4.6,11.021278,76.995017,11.151278,77.125017,Meal ,motorcycle ,25.27,73.0,0.0,mist,Very High,32.94,50.78333333
35.0,4.9,25.453436,81.833167,25.543436,81.923167,Drinks ,motorcycle ,25.19,43.0,0.0,clear sky,High,16.67,50.33333333
22.0,4.6,21.175975,72.795503,21.245975,72.865503,Drinks ,scooter ,24.94,73.0,0.0,mist,Moderate,13.86,42.41666667
20.0,4.9,18.592718,73.773572,18.612718,73.793572,Drinks ,scooter ,22.07,51.0,0.0,clear sky,Low,3.7,21.98333333
26.0,4.8,22.727021,75.884167,22.747021,75.904167,Buffet ,scooter ,17.08,77.0,0.0,haze,Low,4.04,18.3
21.0,4.6,9.985697,76.281128,10.075697,76.371128,Snack ,scooter ,24.59,88.0,0.0,few clouds,High,18.72,50.83333333
27.0,4.6,21.186608,72.794136,21.196608,72.804136,Drinks ,scooter ,23.46,43.0,0.0,clear sky,Very Low,2.23,15.35
20.0,4.7,0.0,0.0,0.13,0.13,Meal ,electric_scooter ,26.48,81.0,0.21,light rain,High,13.4,35.98333333
35.0,4.3,18.994049,72.825203,19.024049,72.855203,Buffet ,motorcycle ,27.98,57.0,0.0,smoke,Moderate,6.5,32.38333333
32.0,4.9,30.893244,75.821817,30.943244,75.871817,Meal ,scooter ,18.9,57.0,0.0,clear sky,Moderate,11.5,29.5
20.0,4.4,26.913726,75.75282,26.933726,75.77282,Meal ,motorcycle ,19.64,68.0,0.0,haze,Low,4.13,14.05
34.0,4.3,21.15276,72.778059,21.17276,72.798059,Buffet ,motorcycle ,23.72,44.0,0.0,clear sky,Low,3.84,13.9
24.0,4.7,22.760072,75.892574,22.810072,75.942574,Drinks ,scooter ,22.14,60.0,0.0,haze,Moderate,11.03,34.35
32.0,3.7,13.044694,80.26147,13.124694,80.34147,Meal ,scooter ,26.44,87.0,0.0,scattered clouds,Very High,18.15,55.98333333
28.0,4.0,13.027018,80.254791,13.077018,80.304791,Meal ,motorcycle ,26.47,88.0,0.0,mist,High,10.95,38.15
37.0,4.2,0.0,0.0,0.04,0.04,Meal ,motorcycle ,26.29,82.0,0.4,light rain,High,13.4,35.98333333
33.0,4.9,19.065838,72.832658,19.085838,72.852658,Buffet ,motorcycle ,28.03,57.0,0.0,smoke,Moderate,4.28,30.53333333
33.0,4.8,18.53408,73.89852,18.54408,73.90852,Drinks ,motorcycle ,23.1,49.0,0.0,clear sky,Low,2.28,25.15
22.0,4.7,11.003681,76.975525,11.073681,77.045525,Meal ,motorcycle ,25.06,73.0,0.0,mist,High,14.51,34.48333333
29.0,4.6,21.173343,72.792731,21.223343,72.842731,Buffet ,scooter ,24.92,73.0,0.0,mist,Moderate,9.01,26.36666667
24.0,4.7,21.173343,72.792731,21.233343,72.852731,Meal ,scooter ,23.01,43.0,0.0,clear sky,Moderate,11.3,27.7
29.0,4.6,-22.552672,88.352885,22.622672,88.422885,Buffet ,scooter ,27.98,65.0,0.0,haze,High,13.4,35.98333333
34.0,4.7,12.316967,76.603067,12.346967,76.633067,Buffet ,electric_scooter ,18.07,81.0,0.0,scattered clouds,Low,6.79,21.61666667
35.0,4.4,13.02978,80.208812,13.09978,80.278812,Meal ,scooter ,26.36,88.0,0.0,mist,High,15.3,36.56666667
35.0,4.4,23.359033,85.325347,23.449033,85.415347,Drinks ,scooter ,21.18,78.0,0.0,mist,High,18.49,48.78333333
27.0,4.8,18.536718,73.830327,18.626718,73.920327,Meal ,motorcycle ,22.98,48.0,0.0,clear sky,High,18.15,42.23333333
21.0,4.8,26.766536,75.837333,26.796536,75.867333,Drinks ,motorcycle ,24.16,46.0,0.0,haze,Low,5.53,23.63333333
24.0,4.6,23.371292,85.327872,23.401292,85.357872,Snack ,motorcycle ,17.56,68.0,0.0,clear sky,Low,5.45,17.58333333
22.0,4.6,10.035573,76.336958,10.125573,76.426958,Snack ,motorcycle ,24.14,92.0,0.0,scattered clouds,High,19.52,50.53333333
20.0,4.8,30.902872,75.826808,30.922872,75.846808,Drinks ,motorcycle ,18.93,57.0,0.0,clear sky,Low,3.85,20.43333333
27.0,4.5,26.482581,80.315628,26.522581,80.355628,Buffet ,motorcycle ,25.24,43.0,0.0,clear sky,Moderate,9.99,23.31666667
50.0,6.0,26.911927,75.797282,27.041927,75.927282,Meal ,electric_scooter ,23.71,29.0,0.0,clear sky,Very High,28.81,59.68333333
20.0,4.7,25.457116,81.859682,25.507116,81.909682,Buffet ,scooter ,25.48,43.0,0.0,clear sky,High,17.14,43.15
26.0,4.7,23.211529,77.419399,23.251529,77.459399,Meal ,scooter ,18.34,57.0,0.0,clear sky,Moderate,9.54,21.13333333
21.0,4.6,13.058616,80.264151,13.168616,80.374151,Snack ,scooter ,26.41,92.0,0.0,scattered clouds,Very High,24.34,65.35
38.0,4.6,12.978453,77.643685,12.998453,77.663685,Drinks ,scooter ,19.61,92.0,0.0,mist,Low,9.67,24.88333333
28.0,4.8,22.753839,75.897429,22.763838,75.907429,Drinks ,scooter ,22.07,60.0,0.0,haze,Very Low,2.31,18.56666667
28.0,4.9,12.935662,77.61413,12.995662,77.67413,Meal ,scooter ,19.59,92.0,0.0,mist,High,17.9,38.13333333
36.0,4.7,30.885814,75.786976,30.945814,75.846976,Buffet ,scooter ,23.78,39.0,0.0,clear sky,Moderate,12.89,23.73333333
20.0,4.7,12.310972,76.659264,12.340972,76.689264,Drinks ,motorcycle ,20.61,67.0,0.0,clear sky,Low,6.85,29.3
36.0,4.4,26.910262,75.783013,26.990262,75.863013,Buffet ,scooter ,19.8,68.0,0.0,haze,High,15.05,36.46666667
28.0,4.7,12.352058,76.60665,12.462058,76.71665,Buffet ,motorcycle ,18.25,82.0,0.0,scattered clouds,High,23.28,41.6
29.0,4.7,11.001753,76.986241,11.091753,77.076241,Snack ,electric_scooter ,25.94,73.0,0.0,haze,High,17.97,39.06666667
28.0,4.9,0.0,0.0,0.08,0.08,Meal ,scooter ,26.27,84.0,0.0,broken clouds,High,13.4,35.98333333
35.0,4.7,23.357804,85.325146,23.417804,85.385146,Meal ,motorcycle ,17.84,68.0,0.0,clear sky,High,11.6,39.28333333
31.0,4.8,13.026286,80.275235,13.046286,80.295235,Meal ,motorcycle ,28.48,81.0,0.0,mist,Low,3.19,14.15
21.0,4.4,19.878028,75.317475,19.908028,75.347475,Snack ,motorcycle ,17.82,82.0,0.0,mist,Low,5.99,20.78333333
22.0,4.8,12.906229,77.596791,13.016229,77.706791,Meal ,scooter ,19.67,93.0,0.0,mist,Very High,21.16,55.56666667
32.0,4.6,12.933298,77.614293,12.993298,77.674293,Snack ,motorcycle ,23.02,72.0,0.0,haze,Very High,14.4,52.15
36.0,4.4,26.914142,75.805704,27.054142,75.945704,Snack ,scooter ,23.93,32.0,0.0,clear sky,Very High,27.74,56.23333333
27.0,4.9,13.026279,80.174568,13.056279,80.204568,Meal ,motorcycle ,28.29,81.0,0.0,mist,Moderate,6.51,25.08333333
27.0,4.7,15.546594,73.760431,15.566594,73.780431,Meal ,scooter ,24.95,58.0,0.0,scattered clouds,Low,4.76,16.51666667
24.0,4.4,18.636215,73.751081,18.726215,73.841081,Meal ,motorcycle ,18.86,65.0,0.0,few clouds,Very High,22.96,51.05
23.0,4.5,17.451976,78.385883,17.511976,78.445883,Meal ,motorcycle ,22.74,60.0,0.0,haze,High,12.73,35.63333333
22.0,4.7,12.316967,76.603067,12.346967,76.633067,Drinks ,motorcycle ,20.47,68.0,0.0,clear sky,Low,6.79,28.41666667
22.0,5.0,12.979166,77.640709,12.989166,77.650709,Buffet ,scooter ,22.98,72.0,0.0,haze,Very Low,1.79,11.9
32.0,4.8,26.482419,80.320939,26.572419,80.410939,Meal ,motorcycle ,21.74,56.0,0.0,clear sky,Very High,19.1,46.65
33.0,4.4,11.022477,76.995667,11.092477,77.065667,Meal ,motorcycle ,25.0,73.0,0.0,mist,Moderate,13.17,31.8
35.0,4.0,11.025083,77.015393,11.155083,77.145393,Buffet ,motorcycle ,25.26,73.0,0.0,mist,High,29.81,45.63333333
23.0,5.0,17.428294,78.404423,17.488294,78.464423,Drinks ,scooter ,22.88,60.0,0.0,haze,High,16.6,53.73333333
21.0,4.9,23.353783,85.326967,23.373783,85.346967,Meal ,motorcycle ,20.1,83.0,0.0,mist,Low,4.08,17.61666667
36.0,4.6,12.337978,76.616792,12.347978,76.626792,Drinks ,motorcycle ,18.07,81.0,0.0,scattered clouds,Very Low,2.83,19.36666667
29.0,4.6,12.979096,77.640625,13.069096,77.730625,Snack ,motorcycle ,19.22,93.0,0.0,fog,High,18.42,53.73333333
25.0,3.1,23.359194,85.325447,23.439194,85.405447,Snack ,scooter ,20.12,83.0,0.0,mist,High,14.97,38.46666667
29.0,4.6,11.026117,76.944652,11.116117,77.034652,Drinks ,motorcycle ,25.08,73.0,0.0,mist,High,19.16,57.08333333
31.0,4.8,22.310237,73.158921,22.380237,73.228921,Drinks ,motorcycle ,23.99,64.0,0.0,haze,Moderate,13.04,34.93333333
24.0,4.9,23.184992,77.417227,23.214992,77.447227,Drinks ,motorcycle ,21.58,44.0,0.0,clear sky,Low,6.48,26.45
38.0,4.6,26.911927,75.797282,26.951927,75.837282,Drinks ,motorcycle ,23.77,46.0,0.0,haze,Moderate,8.01,39.23333333
38.0,5.0,19.876428,75.364792,19.906428,75.394792,Meal ,scooter ,21.88,60.0,0.0,haze,Low,6.78,16.55
28.0,4.8,25.450329,81.834279,25.460329,81.844279,Drinks ,scooter ,25.46,43.0,0.0,clear sky,Very Low,3.67,18.36666667
27.0,4.7,11.022298,76.998349,11.062298,77.038349,Drinks ,motorcycle ,25.97,65.0,0.0,haze,Low,8.05,29.7
29.0,4.6,26.914142,75.805704,26.924142,75.815704,Drinks ,scooter ,23.6,46.0,0.0,haze,Very Low,2.54,19.33333333
35.0,4.5,12.284747,76.625861,12.314747,76.655861,Meal ,electric_scooter ,20.38,67.0,0.0,clear sky,Low,7.01,18.58333333
29.0,4.7,-30.885915,75.788259,30.945915,75.848259,Snack ,motorcycle ,23.18,40.0,0.0,clear sky,High,13.4,35.98333333
23.0,4.6,22.569358,88.433452,22.599358,88.463452,Drinks ,motorcycle ,23.03,83.0,0.0,haze,Moderate,8.33,32.65
27.0,4.5,21.170096,72.789122,21.230096,72.849122,Drinks ,motorcycle ,23.01,43.0,0.0,clear sky,Moderate,12.88,37.06666667
24.0,4.7,19.888716,75.321461,19.978716,75.411461,Meal ,motorcycle ,16.05,82.0,0.0,mist,High,21.7,46.6
27.0,5.0,11.022477,76.995667,11.052477,77.025667,Buffet ,scooter ,25.88,65.0,0.0,haze,Moderate,7.02,25.63333333
22.0,4.5,0.0,0.0,0.09,0.09,Drinks ,scooter ,26.4,81.0,0.29,light rain,High,13.4,35.98333333
36.0,4.9,23.359407,85.325055,23.439407,85.405055,Drinks ,motorcycle ,17.58,69.0,0.0,clear sky,High,15.03,46.01666667
32.0,4.5,23.416792,85.316842,23.456792,85.356842,Buffet ,motorcycle ,17.67,68.0,0.0,clear sky,Low,12.24,17.81666667
23.0,4.4,22.728163,75.884212,22.788163,75.944212,Meal ,motorcycle ,17.12,72.0,0.0,haze,Moderate,12.96,30.76666667
24.0,4.5,19.12663,72.829976,19.14663,72.849976,Drinks ,motorcycle ,28.99,54.0,0.0,smoke,Low,4.39,34.2
31.0,4.9,12.981615,80.231598,13.041615,80.291598,Snack ,motorcycle ,26.54,88.0,0.0,mist,High,12.35,45.58333333
38.0,4.8,22.552996,88.35231,22.642996,88.44231,Buffet ,scooter ,28.01,65.0,0.0,haze,High,17.29,39.93333333
28.0,5.0,26.913987,75.752891,26.943987,75.782891,Drinks ,motorcycle ,23.61,46.0,0.0,haze,Low,8.25,29.15
30.0,4.9,15.506205,73.766668,15.556205,73.816668,Snack ,scooter ,24.97,59.0,0.0,scattered clouds,Moderate,11.17,35.41666667
24.0,4.4,22.308096,73.167753,22.438096,73.297753,Snack ,scooter ,23.92,64.0,0.0,haze,High,24.3,43.7
32.0,5.0,30.332735,78.054222,30.412735,78.134222,Snack ,motorcycle ,13.42,78.0,0.0,clear sky,Very High,16.21,52.65
34.0,4.7,15.56155,73.749092,15.58155,73.769092,Snack ,scooter ,24.48,58.0,0.0,scattered clouds,Low,6.11,24.85
31.0,4.1,12.913041,77.683237,12.953041,77.723237,Buffet ,electric_scooter ,23.43,73.0,0.0,haze,Moderate,12.84,31.96666667
23.0,4.6,12.933298,77.614293,13.063298,77.744293,Meal ,motorcycle ,22.1,74.0,0.0,haze,Very High,24.8,56.31666667
